integer value	ROI intensity	reference intensity
4000.000000	23675.000000	  0.000000
4025.000000	23975.000000	  0.003977
4050.000000	24523.000000	  0.004143
4075.000000	24478.000000	  0.003811
4100.000000	24355.000000	  0.003977
4125.000000	24815.000000	  0.003811
4150.000000	25263.000000	  0.003977
4175.000000	25103.000000	  0.003977
4200.000000	25170.000000	  0.003977
4225.000000	24815.000000	  0.003811
4250.000000	24177.000000	  0.003811
4275.000000	24071.000000	  0.004143
4300.000000	23278.000000	  0.004143
4325.000000	23117.000000	  0.003977
4350.000000	22297.000000	  0.003977
4375.000000	21910.000000	  0.003811
4400.000000	21083.000000	  0.003811
4425.000000	20682.000000	  0.003977
4450.000000	20469.000000	  0.003977
4475.000000	20358.000000	  0.003811
4500.000000	20025.000000	  0.003811
4525.000000	19311.000000	  0.003811
4550.000000	19078.000000	  0.003977
4575.000000	19344.000000	  0.003977
4600.000000	19866.000000	  0.003811
4625.000000	20366.000000	  0.003977
4650.000000	20997.000000	  0.003811
4675.000000	21426.000000	  0.003977
4700.000000	21548.000000	  0.003977
4725.000000	22871.000000	  0.003977
4750.000000	24020.000000	  0.003811
4775.000000	24996.000000	  0.004143
4800.000000	25066.000000	  0.003646
4825.000000	25900.000000	  0.003977
4850.000000	26079.000000	  0.004143
4875.000000	26899.000000	  0.003811
4900.000000	27195.000000	  0.003811
4925.000000	27592.000000	  0.003811
4950.000000	27034.000000	  0.003977
4975.000000	27340.000000	  0.003977
5000.000000	26584.000000	  0.003811
5025.000000	25706.000000	  0.003977
5050.000000	24451.000000	  0.003811
5075.000000	23415.000000	  0.004143
5100.000000	22348.000000	  0.003977
5125.000000	21412.000000	  0.003977
5150.000000	20393.000000	  0.003977
5175.000000	19662.000000	  0.003977
5200.000000	18302.000000	  0.003977
5225.000000	17790.000000	  0.003811
5250.000000	16726.000000	  0.003811
5275.000000	15891.000000	  0.003977
5300.000000	15032.000000	  0.003811
5325.000000	14650.000000	  0.003977
