integer value	ROI intensity	reference intensity
  0.000000	32764.000000	  0.003314
 50.000000	33597.000000	  0.003480
100.000000	32710.000000	  0.003811
150.000000	33141.000000	  0.003314
200.000000	36786.000000	  0.003811
250.000000	38547.000000	  0.003977
300.000000	41418.000000	  0.003646
350.000000	42679.000000	  0.003480
400.000000	48531.000000	  0.003480
450.000000	48607.000000	  0.003480
500.000000	55269.000000	  0.003480
550.000000	55212.000000	  0.003314
600.000000	56266.000000	  0.003646
650.000000	54919.000000	  0.003480
700.000000	53652.000000	  0.003646
750.000000	51052.000000	  0.003646
800.000000	47653.000000	  0.003811
850.000000	43227.000000	  0.003646
900.000000	39454.000000	  0.003314
950.000000	35928.000000	  0.003480
1000.000000	31761.000000	  0.003480
1050.000000	30708.000000	  0.003811
1100.000000	29086.000000	  0.003480
1150.000000	28064.000000	  0.003314
1200.000000	28177.000000	  0.003811
1250.000000	31092.000000	  0.003646
1300.000000	33723.000000	  0.003314
1350.000000	38212.000000	  0.003646
1400.000000	41955.000000	  0.003314
1450.000000	47917.000000	  0.003480
1500.000000	51467.000000	  0.003646
1550.000000	55720.000000	  0.003314
1600.000000	57500.000000	  0.003646
1650.000000	61733.000000	  0.003480
1700.000000	59361.000000	  0.003646
1750.000000	56677.000000	  0.003646
1800.000000	50980.000000	  0.003480
1850.000000	47661.000000	  0.003480
1900.000000	41523.000000	  0.003480
1950.000000	38460.000000	  0.003646
2000.000000	34679.000000	  0.003480
2050.000000	33904.000000	  0.003646
2100.000000	32058.000000	  0.003811
2150.000000	32405.000000	  0.003480
2200.000000	32309.000000	  0.003977
2250.000000	33199.000000	  0.003646
2300.000000	37557.000000	  0.003480
2350.000000	42191.000000	  0.003646
2400.000000	47767.000000	  0.003977
2450.000000	52646.000000	  0.003480
2500.000000	56307.000000	  0.003480
2550.000000	61564.000000	  0.003646
2600.000000	59920.000000	  0.003314
2650.000000	61004.000000	  0.003480
2700.000000	55553.000000	  0.003811
2750.000000	51348.000000	  0.003646
2800.000000	43246.000000	  0.003646
2850.000000	38886.000000	  0.003646
2900.000000	33459.000000	  0.003480
2950.000000	29003.000000	  0.003314
3000.000000	26629.000000	  0.003646
3050.000000	24783.000000	  0.003314
3100.000000	23106.000000	  0.003811
3150.000000	22772.000000	  0.003811
3200.000000	23058.000000	  0.003811
3250.000000	24174.000000	  0.003480
