integer value	ROI intensity	reference intensity
  0.000000	45181.000000	  0.003314
 50.000000	45921.000000	  0.003646
100.000000	46625.000000	  0.003480
150.000000	50082.000000	  0.003480
200.000000	52068.000000	  0.003480
250.000000	56687.000000	  0.003646
300.000000	59420.000000	  0.003646
350.000000	64012.000000	  0.003646
400.000000	65955.000000	  0.003646
450.000000	69639.000000	  0.003480
500.000000	67486.000000	  0.003480
550.000000	66289.000000	  0.003480
600.000000	62546.000000	  0.003646
650.000000	58560.000000	  0.003646
700.000000	50498.000000	  0.003480
750.000000	44761.000000	  0.003480
800.000000	39898.000000	  0.003646
850.000000	33355.000000	  0.003646
900.000000	29257.000000	  0.003480
950.000000	25536.000000	  0.003480
1000.000000	21790.000000	  0.003646
1050.000000	20216.000000	  0.003646
1100.000000	18738.000000	  0.003480
1150.000000	17106.000000	  0.003646
1200.000000	16401.000000	  0.003480
1250.000000	14901.000000	  0.003646
1300.000000	14103.000000	  0.003811
1350.000000	13165.000000	  0.003480
1400.000000	12972.000000	  0.003480
1450.000000	12876.000000	  0.003480
1500.000000	12735.000000	  0.003811
1550.000000	12662.000000	  0.003646
1600.000000	12699.000000	  0.003314
1650.000000	12204.000000	  0.003480
1700.000000	12039.000000	  0.003314
1750.000000	11849.000000	  0.003646
1800.000000	11802.000000	  0.003480
1850.000000	11679.000000	  0.003480
1900.000000	11562.000000	  0.003480
1950.000000	11538.000000	  0.003480
2000.000000	11319.000000	  0.003480
2050.000000	12018.000000	  0.003646
2100.000000	11819.000000	  0.003480
2150.000000	11479.000000	  0.003646
2200.000000	11535.000000	  0.003480
2250.000000	11845.000000	  0.003646
2300.000000	11932.000000	  0.003480
2350.000000	12037.000000	  0.003314
2400.000000	12588.000000	  0.003646
2450.000000	12686.000000	  0.003646
2500.000000	12677.000000	  0.003646
2550.000000	13278.000000	  0.003646
2600.000000	13578.000000	  0.003646
2650.000000	13776.000000	  0.003480
2700.000000	14476.000000	  0.003480
2750.000000	14819.000000	  0.003480
2800.000000	15506.000000	  0.003148
2850.000000	16618.000000	  0.003646
2900.000000	17839.000000	  0.003646
2950.000000	18714.000000	  0.003480
3000.000000	20649.000000	  0.003480
3050.000000	23049.000000	  0.003480
3100.000000	26300.000000	  0.003480
3150.000000	30606.000000	  0.003646
3200.000000	36614.000000	  0.003646
3250.000000	41823.000000	  0.003480
3300.000000	48069.000000	  0.003811
3350.000000	56854.000000	  0.003646
3400.000000	63171.000000	  0.003811
3450.000000	69997.000000	  0.003480
3500.000000	71402.000000	  0.003646
3550.000000	74588.000000	  0.003480
3600.000000	70997.000000	  0.003811
3650.000000	67680.000000	  0.003646
3700.000000	61695.000000	  0.003646
3750.000000	56959.000000	  0.003646
3800.000000	54698.000000	  0.003314
3850.000000	49235.000000	  0.003646
3900.000000	49726.000000	  0.003480
3950.000000	50688.000000	  0.003646
4000.000000	53986.000000	  0.003480
4050.000000	56340.000000	  0.003646
4100.000000	59814.000000	  0.003314
4150.000000	63216.000000	  0.003646
4200.000000	66376.000000	  0.003646
4250.000000	64908.000000	  0.003646
4300.000000	62340.000000	  0.003314
4350.000000	57291.000000	  0.003480
4400.000000	53887.000000	  0.003480
4450.000000	45499.000000	  0.003480
4500.000000	42121.000000	  0.003480
4550.000000	37186.000000	  0.003480
4600.000000	32456.000000	  0.003480
4650.000000	29118.000000	  0.003480
4700.000000	26878.000000	  0.003480
4750.000000	25764.000000	  0.003480
4800.000000	24617.000000	  0.003314
4850.000000	22999.000000	  0.003646
4900.000000	22761.000000	  0.003646
4950.000000	23567.000000	  0.003646
5000.000000	24417.000000	  0.003480
5050.000000	24695.000000	  0.003646
5100.000000	26019.000000	  0.003314
5150.000000	27554.000000	  0.003811
5200.000000	30176.000000	  0.003646
5250.000000	34051.000000	  0.003480
5300.000000	37304.000000	  0.003480
5350.000000	43184.000000	  0.003480
5400.000000	50711.000000	  0.003314
5450.000000	56974.000000	  0.003646
5500.000000	61532.000000	  0.003480
5550.000000	66253.000000	  0.003480
5600.000000	66411.000000	  0.003480
5650.000000	67940.000000	  0.003480
5700.000000	64236.000000	  0.003480
5750.000000	63565.000000	  0.003480
5800.000000	60388.000000	  0.003646
5850.000000	59078.000000	  0.003314
5900.000000	55461.000000	  0.003314
5950.000000	58109.000000	  0.003646
6000.000000	61048.000000	  0.003480
6050.000000	65293.000000	  0.003480
6100.000000	71831.000000	  0.003480
6150.000000	77297.000000	  0.003480
6200.000000	79276.000000	  0.003480
6250.000000	78855.000000	  0.003314
6300.000000	78171.000000	  0.003646
6350.000000	71542.000000	  0.003646
6400.000000	62756.000000	  0.003646
6450.000000	57496.000000	  0.003314
6500.000000	49255.000000	  0.003480
6550.000000	41510.000000	  0.003480
6600.000000	34833.000000	  0.003646
6650.000000	30639.000000	  0.003480
6700.000000	26398.000000	  0.003480
6750.000000	23735.000000	  0.003314
6800.000000	21743.000000	  0.003646
6850.000000	19616.000000	  0.003314
6900.000000	18175.000000	  0.003480
6950.000000	16967.000000	  0.003480
7000.000000	16375.000000	  0.003480
7050.000000	15790.000000	  0.003480
7100.000000	15705.000000	  0.003480
7150.000000	14407.000000	  0.003480
7200.000000	14514.000000	  0.003811
7250.000000	14269.000000	  0.003480
7300.000000	14164.000000	  0.003646
7350.000000	14248.000000	  0.003480
7400.000000	14027.000000	  0.003480
7450.000000	14357.000000	  0.003314
7500.000000	14433.000000	  0.003480
7550.000000	14152.000000	  0.003646
7600.000000	13586.000000	  0.003646
7650.000000	14013.000000	  0.003811
7700.000000	13952.000000	  0.003646
7750.000000	13569.000000	  0.003480
7800.000000	14137.000000	  0.003480
7850.000000	13808.000000	  0.003646
7900.000000	14048.000000	  0.003480
7950.000000	14557.000000	  0.003314
8000.000000	14996.000000	  0.003646
8050.000000	15212.000000	  0.003314
8100.000000	15514.000000	  0.003314
8150.000000	16063.000000	  0.003314
8200.000000	16422.000000	  0.003480
8250.000000	17382.000000	  0.003314
8300.000000	17925.000000	  0.003480
8350.000000	19790.000000	  0.003646
8400.000000	20945.000000	  0.003646
8450.000000	24705.000000	  0.003646
8500.000000	26792.000000	  0.003646
8550.000000	30032.000000	  0.003480
8600.000000	31881.000000	  0.003646
