12   0.141 0.311 0.687 0.853   0.007 0.007 0.007 0.007
10   1.022 1.166 1.473 1.628   0.007 0.007 0.007 0.007
9    1.217 1.339 1.598 1.727   0.007 0.007 0.007 0.007
8    0.506 0.609 0.832 0.945   0.007 0.007 0.007 0.007
7    0.545 0.644 0.850 0.956   0.007 0.007 0.007 0.007
