integer value	ROI intensity	reference intensity
4000.000000	33073.000000	  0.000000
4025.000000	33412.000000	  0.003646
4050.000000	32741.000000	  0.003811
4075.000000	32296.000000	  0.003811
4100.000000	30802.000000	  0.003646
4125.000000	29969.000000	  0.003977
4150.000000	28750.000000	  0.003811
4175.000000	27696.000000	  0.003811
4200.000000	26273.000000	  0.003646
4225.000000	24935.000000	  0.003977
4250.000000	24243.000000	  0.003977
4275.000000	22769.000000	  0.003811
4300.000000	22488.000000	  0.003977
4325.000000	21263.000000	  0.003977
4350.000000	21560.000000	  0.003811
4375.000000	19995.000000	  0.003977
4400.000000	19694.000000	  0.003811
4425.000000	18943.000000	  0.003977
4450.000000	19289.000000	  0.003811
4475.000000	18068.000000	  0.003811
4500.000000	17227.000000	  0.003977
4525.000000	17208.000000	  0.003977
4550.000000	16522.000000	  0.003811
4575.000000	16849.000000	  0.003977
4600.000000	16661.000000	  0.003811
4625.000000	15821.000000	  0.003646
4650.000000	15630.000000	  0.003811
4675.000000	15701.000000	  0.003811
4700.000000	15528.000000	  0.003977
4725.000000	14767.000000	  0.003811
4750.000000	14464.000000	  0.003646
4775.000000	13904.000000	  0.003811
4800.000000	14446.000000	  0.003811
4825.000000	13987.000000	  0.003811
4850.000000	14168.000000	  0.003977
4875.000000	14011.000000	  0.003811
4900.000000	14150.000000	  0.003811
4925.000000	13679.000000	  0.003811
4950.000000	13689.000000	  0.003977
4975.000000	13367.000000	  0.003811
5000.000000	13277.000000	  0.004143
5025.000000	13806.000000	  0.003811
5050.000000	13376.000000	  0.003977
5075.000000	13979.000000	  0.003811
5100.000000	13768.000000	  0.003811
5125.000000	13870.000000	  0.003811
5150.000000	13481.000000	  0.003977
5175.000000	14044.000000	  0.003811
5200.000000	14427.000000	  0.003977
5225.000000	14560.000000	  0.003811
5250.000000	15853.000000	  0.003977
5275.000000	15959.000000	  0.003646
5300.000000	15994.000000	  0.003811
5325.000000	17030.000000	  0.003811
5350.000000	18475.000000	  0.003977
5375.000000	19155.000000	  0.003977
5400.000000	18825.000000	  0.003977
5425.000000	21073.000000	  0.003646
5450.000000	22174.000000	  0.003646
5475.000000	23166.000000	  0.003811
5500.000000	23521.000000	  0.003977
5525.000000	25466.000000	  0.003977
5550.000000	27107.000000	  0.003977
5575.000000	28351.000000	  0.003646
5600.000000	29621.000000	  0.003646
5625.000000	31877.000000	  0.003646
5650.000000	34004.000000	  0.003977
5675.000000	34977.000000	  0.003811
5700.000000	36172.000000	  0.003977
5725.000000	37929.000000	  0.003646
5750.000000	39548.000000	  0.003977
5775.000000	39172.000000	  0.003646
