integer value	ROI intensity	reference intensity
3000.000000	4364.000000	  0.000000
3025.000000	4185.000000	  0.003977
3050.000000	4211.000000	  0.003811
3075.000000	4209.000000	  0.003977
3100.000000	4197.000000	  0.004143
3125.000000	4317.000000	  0.003977
3150.000000	4418.000000	  0.003977
3175.000000	4320.000000	  0.003977
3200.000000	4166.000000	  0.003977
3225.000000	4409.000000	  0.003977
3250.000000	4534.000000	  0.003811
3275.000000	4577.000000	  0.003977
3300.000000	4545.000000	  0.003646
3325.000000	4548.000000	  0.003977
3350.000000	4733.000000	  0.003977
3375.000000	4559.000000	  0.003977
3400.000000	4740.000000	  0.003811
3425.000000	4556.000000	  0.003977
3450.000000	4927.000000	  0.003646
3475.000000	4945.000000	  0.003977
3500.000000	5051.000000	  0.003977
3525.000000	5137.000000	  0.003977
3550.000000	5311.000000	  0.004143
3575.000000	5464.000000	  0.003977
3600.000000	5373.000000	  0.003811
3625.000000	5717.000000	  0.003811
3650.000000	5844.000000	  0.003811
3675.000000	6108.000000	  0.003977
3700.000000	6267.000000	  0.003811
3725.000000	6912.000000	  0.003977
3750.000000	7295.000000	  0.003977
3775.000000	7865.000000	  0.003977
3800.000000	8460.000000	  0.003811
3825.000000	9346.000000	  0.003977
3850.000000	10497.000000	  0.003977
3875.000000	11623.000000	  0.003811
3900.000000	12385.000000	  0.003977
3925.000000	14076.000000	  0.004143
3950.000000	15126.000000	  0.003977
3975.000000	16374.000000	  0.003977
4000.000000	17588.000000	  0.003977
4025.000000	18827.000000	  0.003977
4050.000000	19667.000000	  0.004143
4075.000000	20549.000000	  0.003811
4100.000000	21098.000000	  0.003811
4125.000000	21459.000000	  0.004143
4150.000000	20884.000000	  0.003811
4175.000000	21206.000000	  0.003977
4200.000000	21230.000000	  0.004143
4225.000000	20765.000000	  0.003977
4250.000000	20136.000000	  0.003977
4275.000000	19951.000000	  0.004143
4300.000000	19432.000000	  0.004143
4325.000000	19089.000000	  0.003977
4350.000000	19390.000000	  0.004143
4375.000000	19288.000000	  0.004143
4400.000000	19498.000000	  0.004143
4425.000000	20673.000000	  0.004143
4450.000000	21116.000000	  0.003977
4475.000000	22186.000000	  0.003811
4500.000000	23318.000000	  0.003811
4525.000000	25061.000000	  0.003977
4550.000000	26432.000000	  0.003977
4575.000000	27772.000000	  0.003811
4600.000000	29000.000000	  0.003811
4625.000000	30837.000000	  0.003646
4650.000000	32193.000000	  0.003811
4675.000000	32766.000000	  0.003811
4700.000000	34168.000000	  0.003977
4725.000000	34329.000000	  0.003977
4750.000000	34760.000000	  0.003811
4775.000000	35106.000000	  0.003811
4800.000000	34342.000000	  0.003811
4825.000000	33214.000000	  0.003811
4850.000000	32920.000000	  0.003977
4875.000000	31474.000000	  0.004143
4900.000000	31009.000000	  0.003811
4925.000000	30040.000000	  0.003811
4950.000000	29514.000000	  0.003977
4975.000000	28845.000000	  0.003811
5000.000000	29294.000000	  0.003977
5025.000000	29033.000000	  0.003977
5050.000000	29151.000000	  0.003811
5075.000000	29721.000000	  0.003811
5100.000000	30336.000000	  0.003811
5125.000000	31544.000000	  0.004143
5150.000000	32248.000000	  0.003977
5175.000000	32669.000000	  0.003646
5200.000000	33674.000000	  0.003977
5225.000000	34116.000000	  0.003977
5250.000000	35868.000000	  0.003977
5275.000000	35582.000000	  0.004143
5300.000000	36953.000000	  0.003977
5325.000000	36760.000000	  0.003811
5350.000000	37392.000000	  0.003811
5375.000000	36747.000000	  0.004143
5400.000000	36031.000000	  0.003977
5425.000000	35201.000000	  0.003977
5450.000000	34942.000000	  0.003811
5475.000000	33233.000000	  0.003811
5500.000000	32063.000000	  0.003811
5525.000000	30589.000000	  0.003977
5550.000000	30177.000000	  0.003811
5575.000000	28684.000000	  0.003811
5600.000000	27873.000000	  0.003811
5625.000000	28673.000000	  0.003977
5650.000000	28311.000000	  0.003811
5675.000000	28131.000000	  0.004143
5700.000000	30041.000000	  0.003977
5725.000000	30348.000000	  0.003646
5750.000000	31076.000000	  0.003977
5775.000000	31540.000000	  0.003811
5800.000000	33346.000000	  0.003977
5825.000000	33388.000000	  0.003977
5850.000000	34715.000000	  0.004143
5875.000000	35100.000000	  0.003811
5900.000000	36281.000000	  0.003811
5925.000000	36379.000000	  0.003977
5950.000000	37929.000000	  0.003977
5975.000000	36675.000000	  0.003811
6000.000000	37243.000000	  0.004143
6025.000000	35971.000000	  0.003811
6050.000000	35842.000000	  0.003977
6075.000000	33087.000000	  0.003977
6100.000000	32866.000000	  0.003977
