 0   2.66
 1   75.98
 2   94.04
 3  240.02
 4  324.02
 5  417.0
 6  500
 7  588
 8  651.98
10  822
11  905
12  988
13 1020
14 1080
15 1200
16 1210
17 1280
18 1420
19 1390
20 1340  
