integer value	ROI intensity	reference intensity
  0.000000	10363.000000	  0.003314
 50.000000	10201.000000	  0.003480
100.000000	10107.000000	  0.003480
150.000000	9917.000000	  0.003811
200.000000	9509.000000	  0.003646
250.000000	9794.000000	  0.003148
300.000000	9372.000000	  0.003480
350.000000	10543.000000	  0.003811
400.000000	10789.000000	  0.003646
450.000000	11417.000000	  0.003646
500.000000	11248.000000	  0.003314
550.000000	13019.000000	  0.003314
600.000000	14723.000000	  0.003480
650.000000	16624.000000	  0.003811
700.000000	19401.000000	  0.003646
750.000000	23187.000000	  0.003314
800.000000	26597.000000	  0.003646
850.000000	31296.000000	  0.003811
900.000000	33916.000000	  0.003811
950.000000	38497.000000	  0.003646
1000.000000	41654.000000	  0.003646
1050.000000	43664.000000	  0.003811
1100.000000	43750.000000	  0.003646
1150.000000	44341.000000	  0.003977
1200.000000	42260.000000	  0.003314
1250.000000	39564.000000	  0.003480
1300.000000	37125.000000	  0.003148
1350.000000	35142.000000	  0.003314
1400.000000	33530.000000	  0.003977
1450.000000	32752.000000	  0.003314
1500.000000	33532.000000	  0.003314
1550.000000	35594.000000	  0.003480
1600.000000	38889.000000	  0.003811
1650.000000	40158.000000	  0.003480
1700.000000	44985.000000	  0.003646
1750.000000	47444.000000	  0.003480
1800.000000	51890.000000	  0.003314
1850.000000	51868.000000	  0.003314
1900.000000	53501.000000	  0.003646
1950.000000	49966.000000	  0.003646
2000.000000	47016.000000	  0.003646
2050.000000	41206.000000	  0.003480
2100.000000	37784.000000	  0.003646
2150.000000	32119.000000	  0.003314
2200.000000	28127.000000	  0.003977
2250.000000	22883.000000	  0.003646
2300.000000	21521.000000	  0.004143
2350.000000	16724.000000	  0.003811
2400.000000	14257.000000	  0.003646
2450.000000	12638.000000	  0.003646
2500.000000	10569.000000	  0.003646
2550.000000	9350.000000	  0.003148
2600.000000	7898.000000	  0.003811
2650.000000	6980.000000	  0.003811
2700.000000	6471.000000	  0.003646
2750.000000	5599.000000	  0.003480
2800.000000	4933.000000	  0.003646
2850.000000	4765.000000	  0.003646
2900.000000	4259.000000	  0.003811
2950.000000	4392.000000	  0.003314
3000.000000	4096.000000	  0.003811
3050.000000	3790.000000	  0.003646
3100.000000	3768.000000	  0.003480
3150.000000	3795.000000	  0.003480
3200.000000	3813.000000	  0.003811
3250.000000	3641.000000	  0.003811
3300.000000	3504.000000	  0.003314
3350.000000	3393.000000	  0.003977
3400.000000	3486.000000	  0.003646
3450.000000	4005.000000	  0.003811
3500.000000	3667.000000	  0.003480
3550.000000	3645.000000	  0.003314
3600.000000	3715.000000	  0.003480
3650.000000	3850.000000	  0.003314
3700.000000	3998.000000	  0.003646
3750.000000	4415.000000	  0.003314
3800.000000	4117.000000	  0.003480
3850.000000	4318.000000	  0.003480
3900.000000	4374.000000	  0.003646
3950.000000	5006.000000	  0.003646
4000.000000	5310.000000	  0.003480
4050.000000	5727.000000	  0.003480
4100.000000	6654.000000	  0.003480
4150.000000	6949.000000	  0.003811
4200.000000	7936.000000	  0.003646
4250.000000	8963.000000	  0.003646
4300.000000	10381.000000	  0.003646
4350.000000	12717.000000	  0.003480
4400.000000	15964.000000	  0.003480
4450.000000	21146.000000	  0.003480
4500.000000	25384.000000	  0.003480
4550.000000	32236.000000	  0.003314
4600.000000	37373.000000	  0.003480
4650.000000	43502.000000	  0.003646
4700.000000	47469.000000	  0.003314
4750.000000	48969.000000	  0.003977
4800.000000	49253.000000	  0.003646
4850.000000	46556.000000	  0.003480
4900.000000	43310.000000	  0.003811
4950.000000	40185.000000	  0.003480
5000.000000	36350.000000	  0.003480
5050.000000	32501.000000	  0.003977
5100.000000	29859.000000	  0.003480
5150.000000	29120.000000	  0.003480
5200.000000	30078.000000	  0.003646
5250.000000	31914.000000	  0.003646
5300.000000	36035.000000	  0.003811
5350.000000	36984.000000	  0.003646
5400.000000	40683.000000	  0.003811
5450.000000	41273.000000	  0.003646
5500.000000	40619.000000	  0.003646
5550.000000	37854.000000	  0.003646
5600.000000	34978.000000	  0.003646
5650.000000	31027.000000	  0.003646
5700.000000	27058.000000	  0.003314
5750.000000	24111.000000	  0.003480
5800.000000	20571.000000	  0.003480
5850.000000	17509.000000	  0.003480
5900.000000	15156.000000	  0.003480
5950.000000	13462.000000	  0.003646
6000.000000	11862.000000	  0.003314
6050.000000	10684.000000	  0.003480
