integer value	ROI intensity	reference intensity
  0.000000	41553.000000	  0.003314
 50.000000	39478.000000	  0.003646
100.000000	41331.000000	  0.003646
150.000000	43138.000000	  0.003646
200.000000	45468.000000	  0.003646
250.000000	46680.000000	  0.003646
300.000000	51348.000000	  0.003811
350.000000	50107.000000	  0.003480
400.000000	53671.000000	  0.003811
450.000000	51117.000000	  0.003646
500.000000	52641.000000	  0.003646
550.000000	48902.000000	  0.003480
600.000000	46271.000000	  0.003480
650.000000	40548.000000	  0.003480
700.000000	36073.000000	  0.003646
750.000000	30914.000000	  0.003646
800.000000	27605.000000	  0.003811
850.000000	24817.000000	  0.003646
900.000000	22257.000000	  0.003480
950.000000	18786.000000	  0.003480
1000.000000	17529.000000	  0.003646
1050.000000	16111.000000	  0.003480
1100.000000	15722.000000	  0.003480
1150.000000	15358.000000	  0.003480
1200.000000	14670.000000	  0.003646
1250.000000	13231.000000	  0.003811
1300.000000	13707.000000	  0.003480
1350.000000	13188.000000	  0.003480
1400.000000	12677.000000	  0.003314
1450.000000	12280.000000	  0.003480
1500.000000	12504.000000	  0.003977
1550.000000	12335.000000	  0.003148
1600.000000	12505.000000	  0.003314
1650.000000	12708.000000	  0.003480
1700.000000	13418.000000	  0.003646
1750.000000	13756.000000	  0.003480
1800.000000	14681.000000	  0.003480
1850.000000	14869.000000	  0.003148
1900.000000	15752.000000	  0.003314
1950.000000	16525.000000	  0.003314
2000.000000	19021.000000	  0.003314
2050.000000	21083.000000	  0.003811
2100.000000	24317.000000	  0.003314
2150.000000	26902.000000	  0.003646
2200.000000	32128.000000	  0.003148
2250.000000	35728.000000	  0.003314
2300.000000	42136.000000	  0.003646
2350.000000	47545.000000	  0.003314
2400.000000	50934.000000	  0.003646
2450.000000	54332.000000	  0.003314
2500.000000	57426.000000	  0.003314
2550.000000	53549.000000	  0.003480
2600.000000	53859.000000	  0.003148
2650.000000	46995.000000	  0.003811
2700.000000	41802.000000	  0.003646
2750.000000	37612.000000	  0.003314
2800.000000	34393.000000	  0.003646
2850.000000	31973.000000	  0.003811
2900.000000	31417.000000	  0.003646
2950.000000	30800.000000	  0.003646
3000.000000	32252.000000	  0.003977
3050.000000	33571.000000	  0.003646
3100.000000	38821.000000	  0.003314
3150.000000	42134.000000	  0.003480
3200.000000	47824.000000	  0.003314
3250.000000	52772.000000	  0.003646
3300.000000	59221.000000	  0.003480
3350.000000	58168.000000	  0.003811
3400.000000	62317.000000	  0.003646
3450.000000	57149.000000	  0.003646
3500.000000	56631.000000	  0.003314
3550.000000	47730.000000	  0.003811
3600.000000	42751.000000	  0.003314
3650.000000	35405.000000	  0.003977
3700.000000	30951.000000	  0.003811
3750.000000	25556.000000	  0.003811
3800.000000	23418.000000	  0.003480
3850.000000	19504.000000	  0.003811
3900.000000	17532.000000	  0.003314
3950.000000	16595.000000	  0.003646
4000.000000	15389.000000	  0.003646
4050.000000	14178.000000	  0.003977
4100.000000	13747.000000	  0.003314
4150.000000	12980.000000	  0.003646
4200.000000	12521.000000	  0.003811
4250.000000	12445.000000	  0.003646
4300.000000	11819.000000	  0.003811
4350.000000	11309.000000	  0.003148
4400.000000	11559.000000	  0.003646
4450.000000	11474.000000	  0.003811
4500.000000	11770.000000	  0.003314
4550.000000	11619.000000	  0.003314
4600.000000	11701.000000	  0.003646
4650.000000	11253.000000	  0.004143
4700.000000	11653.000000	  0.003646
4750.000000	12284.000000	  0.003148
4800.000000	12641.000000	  0.003646
4850.000000	13393.000000	  0.003811
4900.000000	14457.000000	  0.003480
4950.000000	15155.000000	  0.003646
5000.000000	16839.000000	  0.003480
5050.000000	18150.000000	  0.003480
5100.000000	21226.000000	  0.003811
5150.000000	23953.000000	  0.003646
5200.000000	28406.000000	  0.003646
5250.000000	33503.000000	  0.003314
5300.000000	40304.000000	  0.003314
5350.000000	45681.000000	  0.003314
5400.000000	51377.000000	  0.003811
5450.000000	55908.000000	  0.003811
5500.000000	59701.000000	  0.003314
5550.000000	57980.000000	  0.003480
5600.000000	59604.000000	  0.003646
5650.000000	52907.000000	  0.003148
5700.000000	47987.000000	  0.003811
5750.000000	41662.000000	  0.003480
5800.000000	37953.000000	  0.003811
5850.000000	33441.000000	  0.003811
5900.000000	31237.000000	  0.003646
5950.000000	29009.000000	  0.003314
6000.000000	30442.000000	  0.003480
6050.000000	32020.000000	  0.003811
6100.000000	34166.000000	  0.003811
6150.000000	38561.000000	  0.003811
6200.000000	43059.000000	  0.003314
6250.000000	47342.000000	  0.003811
6300.000000	51122.000000	  0.003811
6350.000000	52806.000000	  0.003314
6400.000000	52573.000000	  0.003480
6450.000000	48345.000000	  0.003480
6500.000000	45179.000000	  0.003646
6550.000000	36818.000000	  0.003480
6600.000000	32629.000000	  0.003480
6650.000000	28224.000000	  0.003480
6700.000000	24863.000000	  0.003314
6750.000000	20717.000000	  0.003646
6800.000000	19651.000000	  0.003480
6850.000000	17064.000000	  0.003480
6900.000000	16122.000000	  0.003646
6950.000000	15462.000000	  0.003480
7000.000000	14463.000000	  0.003646
7050.000000	13547.000000	  0.003480
7100.000000	13451.000000	  0.003148
7150.000000	13123.000000	  0.003811
7200.000000	13359.000000	  0.003811
7250.000000	12460.000000	  0.003480
7300.000000	12508.000000	  0.003646
7350.000000	12738.000000	  0.003480
7400.000000	13180.000000	  0.003480
7450.000000	13519.000000	  0.003811
7500.000000	15088.000000	  0.003480
7550.000000	15793.000000	  0.003811
7600.000000	17241.000000	  0.003646
7650.000000	20007.000000	  0.003480
7700.000000	22695.000000	  0.003646
7750.000000	27244.000000	  0.003480
7800.000000	30792.000000	  0.003646
7850.000000	36535.000000	  0.003480
7900.000000	41945.000000	  0.003480
7950.000000	47413.000000	  0.003646
8000.000000	52586.000000	  0.003314
8050.000000	53410.000000	  0.003480
8100.000000	56629.000000	  0.003480
8150.000000	53103.000000	  0.003480
8200.000000	48599.000000	  0.003646
8250.000000	43322.000000	  0.003646
8300.000000	39972.000000	  0.003314
8350.000000	35934.000000	  0.003646
8400.000000	33231.000000	  0.003646
8450.000000	31856.000000	  0.003646
8500.000000	32499.000000	  0.003646
8550.000000	34814.000000	  0.003646
8600.000000	37475.000000	  0.003646
8650.000000	41621.000000	  0.003314
8700.000000	47064.000000	  0.003314
8750.000000	52586.000000	  0.003480
8800.000000	56851.000000	  0.003646
8850.000000	60296.000000	  0.003811
8900.000000	58492.000000	  0.003646
8950.000000	58524.000000	  0.003480
9000.000000	51376.000000	  0.003646
9050.000000	45561.000000	  0.003811
9100.000000	39308.000000	  0.003314
9150.000000	32563.000000	  0.003977
9200.000000	29111.000000	  0.003480
9250.000000	23064.000000	  0.003811
9300.000000	20967.000000	  0.003480
9350.000000	18053.000000	  0.003480
9400.000000	16519.000000	  0.003646
9450.000000	14460.000000	  0.003480
9500.000000	14355.000000	  0.003314
9550.000000	13730.000000	  0.003480
9600.000000	13682.000000	  0.003480
9650.000000	12605.000000	  0.003314
9700.000000	12604.000000	  0.003646
9750.000000	11610.000000	  0.003480
9800.000000	11396.000000	  0.003148
9850.000000	11627.000000	  0.003811
9900.000000	12019.000000	  0.003646
9950.000000	11409.000000	  0.003646
10000.000000	11849.000000	  0.003480
10050.000000	12149.000000	  0.003646
10100.000000	12501.000000	  0.003314
10150.000000	12481.000000	  0.003480
10200.000000	13888.000000	  0.003646
10250.000000	14146.000000	  0.003314
10300.000000	15880.000000	  0.003811
10350.000000	17416.000000	  0.003148
10400.000000	19943.000000	  0.003480
10450.000000	23509.000000	  0.003314
10500.000000	28516.000000	  0.003480
10550.000000	31780.000000	  0.003646
10600.000000	37389.000000	  0.003480
10650.000000	43464.000000	  0.003480
10700.000000	49711.000000	  0.003480
10750.000000	55984.000000	  0.003480
10800.000000	59310.000000	  0.003646
10850.000000	57048.000000	  0.003646
10900.000000	54747.000000	  0.003646
10950.000000	49961.000000	  0.003811
11000.000000	47345.000000	  0.003811
11050.000000	40336.000000	  0.003646
11100.000000	35750.000000	  0.003811
11150.000000	32526.000000	  0.003314
11200.000000	32243.000000	  0.003480
11250.000000	32122.000000	  0.003480
11300.000000	33428.000000	  0.003480
11350.000000	36095.000000	  0.003811
11400.000000	40713.000000	  0.003646
11450.000000	44797.000000	  0.003646
11500.000000	48910.000000	  0.003646
11550.000000	50337.000000	  0.003646
11600.000000	50815.000000	  0.003646
11650.000000	48630.000000	  0.003811
11700.000000	47542.000000	  0.003314
11750.000000	40967.000000	  0.003480
11800.000000	35360.000000	  0.003646
11850.000000	30052.000000	  0.003646
11900.000000	26071.000000	  0.003480
11950.000000	22579.000000	  0.003646
