integer value	ROI intensity	reference intensity
4000.000000	20855.000000	  0.000000
4025.000000	20685.000000	  0.000000
4050.000000	20458.000000	  0.003811
4075.000000	19929.000000	  0.003977
4100.000000	20633.000000	  0.003977
4125.000000	20598.000000	  0.003977
4150.000000	21865.000000	  0.004143
4175.000000	22564.000000	  0.003811
4200.000000	23263.000000	  0.003811
4225.000000	23877.000000	  0.003811
4250.000000	25504.000000	  0.003977
4275.000000	26718.000000	  0.003977
4300.000000	28495.000000	  0.003977
4325.000000	29804.000000	  0.003811
4350.000000	31732.000000	  0.003977
4375.000000	32321.000000	  0.003811
4400.000000	33484.000000	  0.003811
4425.000000	35051.000000	  0.003811
4450.000000	36972.000000	  0.003811
4475.000000	37119.000000	  0.003977
4500.000000	38345.000000	  0.003977
4525.000000	38905.000000	  0.003811
4550.000000	39728.000000	  0.003646
4575.000000	39059.000000	  0.003977
4600.000000	39215.000000	  0.003977
4625.000000	38449.000000	  0.003977
4650.000000	38210.000000	  0.003977
4675.000000	36665.000000	  0.003977
4700.000000	36254.000000	  0.003977
4725.000000	34753.000000	  0.003977
4750.000000	33303.000000	  0.003977
4775.000000	32811.000000	  0.004143
4800.000000	32003.000000	  0.003811
4825.000000	31305.000000	  0.003977
4850.000000	31075.000000	  0.004143
4875.000000	30678.000000	  0.003977
4900.000000	31684.000000	  0.003977
4925.000000	31425.000000	  0.003977
4950.000000	32356.000000	  0.003977
4975.000000	33212.000000	  0.003977
5000.000000	33634.000000	  0.004143
5025.000000	33542.000000	  0.003977
5050.000000	35622.000000	  0.003977
5075.000000	37052.000000	  0.003811
5100.000000	39049.000000	  0.004143
5125.000000	40579.000000	  0.003977
5150.000000	42683.000000	  0.003977
5175.000000	43076.000000	  0.003977
5200.000000	42417.000000	  0.003977
5225.000000	42266.000000	  0.003811
5250.000000	41803.000000	  0.004143
5275.000000	42138.000000	  0.003977
5300.000000	41999.000000	  0.003977
5325.000000	40578.000000	  0.003977
5350.000000	39095.000000	  0.004143
5375.000000	36831.000000	  0.003977
5400.000000	36711.000000	  0.003977
5425.000000	34242.000000	  0.003977
5450.000000	33378.000000	  0.003811
5475.000000	31789.000000	  0.003977
5500.000000	32460.000000	  0.003977
5525.000000	31563.000000	  0.004143
5550.000000	31343.000000	  0.003811
5575.000000	30192.000000	  0.003977
